,Ciudad,Orden,Modalidad de Contratacion,Tipo de Contrato,Codigo de Categoria Principal
223,Puerto Salgar,,,,V1.93131609
224,Chinchiná,,,,V1.80111623
225,Bosconia,,,,V1.82101801
226,Honda,,,,V1.86111802
227,Villanueva,,,,V1.44102304
228,Ortega,,,,V1.11111600
229,Gachantivá,,,,V1.52161547
230,Manzanares,,,,V1.86101702
231,Aguachica,,,,V1.81101512
232,Carepa,,,,V1.83121703
233,Don Matías,,,,V1.43233201
234,Arboletes,,,,V1.93141501
235,Duitama,,,,V1.85131708
236,Sopó,,,,V1.85101702
237,Garzón,,,,V1.77101600
238,Santa Rosa De Osos,,,,V1.50111500
239,Simacota,,,,V1.82111804
240,Villa De San Diego De Ubate,,,,V1.11162100
241,Güicán,,,,V1.20102301
242,Campoalegre,,,,V1.93142009
243,Calarca,,,,V1.93141707
244,Buenaventura,,,,V1.90101603
245,Fuente De Oro,,,,V1.72151400
246,Barbosa,,,,V1.84111701
247,Angelópolis,,,,V1.84131503
248,Saldaña,,,,V1.93131502
249,Yondó,,,,V1.72101511
250,Teorama,,,,V1.43201800
251,Pácora,,,,V1.81141606
252,San Rafael,,,,V1.85111600
253,Málaga,,,,V1.46181700
254,Agrado,,,,V1.86141501
255,Cisneros,,,,V1.92101805
256,Andalucía,,,,V1.78111502
257,El Colegio,,,,V1.42172004
258,Copacabana,,,,V1.80121500
259,Berbeo,,,,V1.50182001
260,San Juan Nepomuceno,,,,V1.53131608
261,Sora,,,,V1.77121701
262,Apulo,,,,V1.81101502
263,Calamar,,,,V1.84111703
264,San Alberto,,,,V1.43211600
265,Gamarra,,,,V1.81131500
266,Amalfi,,,,V1.80141501
267,La Virginia,,,,V1.85122005
268,Puerto Berrío,,,,V1.81111509
269,Ebéjico,,,,V1.81101706
270,El Rosal,,,,V1.86141500
271,San Carlos,,,,V1.80111621
272,Arroyohondo,,,,V1.50151513
273,Lérida,,,,V1.85111617
274,Pisba,,,,V1.53102700
275,Lenguazaque,,,,V1.90141703
276,Gachala,,,,V1.81112004
277,Roldanillo,,,,V1.23152113
278,Paya,,,,V1.81101707
279,Siachoque,,,,V1.71151100
280,Pinchote,,,,V1.86101705
281,Boyacá,,,,V1.10141503
282,Córdoba,,,,V1.55111500
283,Cumaral,,,,V1.85121808
284,Palestina,,,,V1.81111700
285,San Agustín,,,,V1.14111506
286,Solano,,,,V1.81111707
287,Caicedonia,,,,V1.70151900
288,Sabanalarga,,,,V1.56141503
289,Morales,,,,V1.92121500
290,San José De La Montaña,,,,V1.40151600
291,San Vicente,,,,V1.82101800
292,Marmato,,,,V1.93142008
293,Fusagasugá,,,,V1.93131700
294,Pensilvania,,,,V1.86131502
295,Urrao,,,,V1.31162300
296,Nemocón,,,,V1.47101600
297,Cerinza,,,,V1.50211502
298,Carolina,,,,V1.43222609
299,Aguada,,,,V1.71101500
300,Villapinzón,,,,V1.12352001
301,Betéitiva,,,,V1.85122201
302,Nocaima,,,,V1.56112104
303,Paicol,,,,V1.85121500
304,El Bagre,,,,V1.86131600
305,Patía,,,,V1.81112100
306,Sasaima,,,,V1.80111605
307,Valparaíso,,,,V1.85151601
308,Corozal,,,,V1.90151802
309,Belén,,,,V1.27112001
310,La Vega,,,,V1.81101703
311,Santana,,,,V1.44103103
312,Sopetrán,,,,V1.80121610
313,Belén De Umbría,,,,V1.72154028
314,Calima,,,,V1.93161800
315,Yolombó,,,,V1.46181504
316,Aldana,,,,V1.90101500
317,Cucunubá,,,,V1.46181600
318,La Montañita,,,,V1.82111801
319,Sucre,,,,V1.78102200
320,Valencia,,,,V1.84131501
321,San Jacinto,,,,V1.42321715
322,Charta,,,,V1.42271700
323,Toro,,,,V1.93141503
324,Amagá,,,,V1.70171600
325,Viotá,,,,V1.25172802
326,Tabio,,,,V1.78181505
327,Páramo,,,,V1.86121504
328,San Francisco,,,,V1.84131600
329,Ituango,,,,V1.93131608
330,Jardín,,,,V1.81161708
331,Tumaco,,,,V1.30191800
332,Santa Catalina,,,,V1.77101500
333,Manatí,,,,V1.43222500
334,Chitaraque,,,,V1.80101602
335,El Carmen De Bolívar,,,,V1.85131702
336,Buenos Aires,,,,V1.81101516
337,Suárez,,,,V1.49161504
338,Chigorodó,,,,V1.90101600
339,Nilo,,,,V1.85121501
340,Moniquirá,,,,V1.41113300
341,San Pablo De Borbur,,,,V1.81161712
342,Aratoca,,,,V1.52121604
343,La Apartada,,,,V1.81112205
344,Isnos,,,,V1.85121609
345,Santa Bárbara,,,,V1.81112202
346,Tinjacá,,,,V1.43232003
347,Nimaima,,,,V1.72154300
