;valor norm;predict
4742;-0.09300038028346665;-0.09383567
5003;-0.09188200229130021;-0.0891795
5536;-0.0662571665457867;-0.070312954
5998;-0.08853735310847746;-0.09366687
2824;-0.09401040667031389;-0.10753975
2619;-0.08773340242890032;-0.09435601
4784;-0.09349840798310327;-0.095414765
1547;-0.09473619612547497;-0.088074505
560;-0.08751455566044362;-0.08672795
232;-0.09386246331909494;-0.09364388
4255;-0.0924644908288869;0.014332338
2338;-0.09429932972228496;-0.09808692
3079;-0.09304697936647359;-0.086899325
1574;-0.08905693288400478;-0.09715717
6656;-0.09392071217285361;-0.09407448
2444;-0.0945032007104403;-0.084882595
4592;-0.09378751451896367;-0.08972764
2390;-0.09429932972228496;-0.09374287
3567;-0.08955204814095347;-0.093200326
5896;-0.08082054496252904;-0.08651468
5622;-0.08975986607143949;-0.07674195
1624;-0.09223149541385223;-0.0802109
662;-0.09304697936647359;-0.039422363
2388;-0.09483813161955264;-0.094185874
289;-0.08792108023571074;-0.06263158
3940;-0.0852847371145934;-0.096348196
6792;-0.09358210983848886;-0.0931759
5705;-0.09129951375371352;-0.07239655
3910;-0.09491094268675097;-0.092381954
5421;-0.09367723196414238;-0.09100683
1460;-0.0889113107496081;-0.08629065
5000;-0.09526043580930299;-0.08884421
4190;-0.09527179433578593;-0.086391725
2387;-0.09429932972228496;-0.09808692
5520;-0.09061111715022283;-0.08758947
5304;-0.08978504355598814;-0.04417646
4749;-0.09224688709096941;-0.08782696
561;-0.06647010105558689;-0.076788746
3717;-0.08117586297045691;-0.08975886
1711;-0.08464149502253643;-0.0750827
2809;-0.09413681542029827;-0.095556095
664;-0.09402890941871034;-0.09417887
2841;-0.09361461444635182;-0.095242456
5793;-0.08980106199077177;-0.085213974
3388;-0.08762877583777899;-0.08782857
3638;-0.09386246331909494;-0.09383661
3120;-0.09291883188820452;-0.0897222
6496;-0.09118301604619619;-0.085492134
3034;-0.09272078578542504;-0.080185965
89;-0.09453939072328056;-0.09542823
4901;-0.08494984115479332;-0.08702151
5915;-0.0837271627650866;-0.080129825
6875;-0.09093458468491547;-0.097834386
2013;-0.09362946790406027;-0.082085125
2529;-0.08984329240974681;-0.09471561
5069;-0.09474697216342033;-0.09643886
423;-0.08663960545302003;-0.09681694
5691;-0.09192135521689956;-0.09218664
2405;-0.09429932972228496;-0.094185874
5044;-0.07631383114722085;-0.074815184
6869;-0.09380421446533628;-0.0860405
275;-0.09421195644164695;-0.08705268
6223;-0.09362946790406027;-0.09345429
145;-0.09451198929749541;-0.076027215
172;0.02516324445136855;-0.087464
3441;-0.09260041452913276;0.026058825
64;-0.0924644908288869;-0.07840181
2594;-0.08869596706721647;-0.07974691
3556;-0.0945032007104403;-0.094488144
4766;-0.08649864322692405;-0.09064875
174;-0.09196937557193821;-0.0925956
4157;-0.09397896102661228;-0.08678708
6996;-0.06528271914130379;-0.07804971
1170;-0.07498983470128631;0.008592251
3809;-0.08358154063068993;-0.09174738
3202;-0.09397896102661228;-0.0919092
5311;-0.09232964473243557;-0.07988749
6268;-0.08489213984025998;-0.082864866
5449;-0.09146523873251938;-0.08517815
4602;-0.09267476919095569;-0.093933
2263;-0.08908605731088412;-0.08777045
6526;-0.09363878772066166;-0.093281545
2815;-0.08938545641920367;-0.081839934
3470;-0.0930201848937446;-0.09211508
3871;-0.08730269059959844;-0.0767083
4600;-0.09316989668016366;-0.094470285
6181;-0.09403720988037095;-0.09542798
3263;-0.09164900687626554;-0.091761045
2064;0.7650768816718455;-0.081042826
2686;-0.09421195644164695;-0.09635644
437;-0.09188200229130021;-0.09476982
2751;-0.09482356940611297;-0.09472123
5808;-0.0904257809473335;-0.07101663
2158;-0.08163020402977453;-0.08477514
6552;-0.0924644908288869;-0.09204744
2944;-0.09322085219494321;-0.06668989
6761;-0.09211499770633488;-0.09421274
404;-0.09371451123054793;-0.088435166
5884;-0.09135776260747219;-0.0896253
5323;-0.09329267303162765;-0.08405109
5615;-0.0945032007104403;-0.09479356
977;-0.0924644908288869;-0.08901006
6438;-0.0935450070661102;-0.08512793
240;-0.09195190091581061;-0.08994294
2568;-0.0896204905441199;-0.08793617
1340;-0.09456144956419897;-0.09344199
1815;-0.0938950826771998;-0.08404764
4038;-0.09521310861562407;-0.089545555
886;-0.09191928155770576;-0.08790369
2761;-0.0945905739910783;-0.08663107
5605;-0.09078127370182265;-0.06917004
154;-0.0945032007104403;-0.098494284
3145;-0.09335599885547992;-0.09346249
1949;-0.049122216568329595;-0.039026394
3170;-0.0936888817348941;-0.09406855
5378;-0.08663960545302003;-0.087909594
3657;-0.09253730189608524;-0.080299065
517;-0.08846401255919846;-0.096486665
5912;-0.09287922266764861;-0.084309645
4409;-0.09013453667854016;-0.09801138
3986;-0.09099661971416845;-0.09243026
110;-0.09217324656009356;-0.09582135
926;-0.09139853680510326;-0.07698872
6663;-0.0837271627650866;-0.0792137
1032;-0.08955204814095347;-0.09289285
2257;-0.0859802284284719;-0.04031223
2396;-0.09473619612547497;-0.09412957
3856;-0.09188200229130021;-0.07908881
3985;-0.09461969841795764;-0.0946889
4735;-0.09120213856239662;-0.091442786
6324;-0.0924644908288869;-0.09264801
456;-0.08961029699471214;-0.05920959
2481;-0.06409030918596423;-0.087363854
2095;-0.09527711828101948;-0.07624998
2786;-0.09206898111186554;-0.08774536
5186;-0.08838707106578009;-0.086220525
4776;-0.09013453667854016;-0.08635547
4546;-0.069629316177446;-0.04571489
3709;-0.08946295768410666;-0.08800901
1188;-0.04921814602309621;-0.08606159
1459;-0.09118301604619619;-0.09391353
3358;-0.08512513525529465;-0.08227326
5176;-0.08704734742933072;-0.0922419
178;-0.08955890752597209;-0.09329764
1029;-0.08805214015666775;-0.090145096
173;-0.09310522822023225;-0.0925956
3870;-0.08576587264664;-0.06434068
2288;-0.09409545873412963;-0.08953696
2192;-0.09452650025194377;-0.06422405
421;-0.08955204814095347;-0.091247045
4176;-0.0869774488048203;-0.08472419
1092;-0.09141601146123086;-0.092036344
3795;-0.09217324656009356;-0.09336774
530;-0.09188446680030274;-0.08709049
3788;-0.09275631758621783;-0.09310697
6075;-0.09409817720813454;-0.091334425
2364;-0.0946779472717163;-0.0926826
2004;-0.08227094142111989;-0.08896711
321;-0.0767664247409257;-0.07895004
1760;-0.08988406660737788;-0.07918612
4304;-0.08838707106578009;-0.09243686
141;-0.09223149541385223;-0.09486855
702;-0.07802159550623607;-0.082520954
3599;-0.08416402916827662;-0.09203912
3571;-0.09397896102661228;-0.09462071
3747;-0.09203733276215284;-0.09185401
5995;-0.09341598003014938;-0.08398751
5720;-0.09188200229130021;-0.08308586
3741;-0.08955787302632934;-0.100388475
4200;-0.09313435264711159;-0.092398
2678;-0.0945189209110927;-0.09188864
580;-0.09249361525576623;-0.09021446
4893;-0.09362946790406027;-0.08937296
34;-0.09386246331909494;-0.0797909
78;-0.09303707706133461;-0.0886249
1559;-0.0796497430019798;-0.0858398
82;-0.08809582679698676;-0.07553434
6717;-0.0943284541491643;-0.0926817
6768;-0.09139271191972739;-0.0874496
6083;-0.08506688640153598;-0.080058575
2603;-0.0868726008680547;-0.071379706
4996;-0.09520218695554432;-0.094129525
4125;-0.09071702521612683;-0.091032475
4282;-0.05052531612264548;-0.07343728
5963;-0.06625495308934387;-0.08311928
2120;-0.08570762379288134;-0.08697042
2817;-0.09490803024406305;-0.097092785
6125;-0.08256218568991323;-0.08337945
2409;-0.09483813161955264;-0.09513236
3915;-0.09529991513491501;-0.08459764
2176;-0.08108208231590545;-0.09226011
5807;-0.08633671141347496;-0.087683186
1688;-0.08924121128770986;-0.08604134
5022;-0.08838707106578009;-0.099087335
2480;-0.09362946790406027;-0.09359727
3357;-0.09244334067008712;-0.07791185
5075;-0.09386246331909494;-0.08994942
5426;-0.09459229349724126;-0.09372276
4807;-0.09386246331909494;-0.09304616
4466;-0.08955204814095347;-0.09034817
1267;-0.0947478458962267;-0.09520099
5303;-0.09310522822023225;-0.09252198
3573;-0.09304697936647359;-0.08837059
438;-0.09188200229130021;-0.08909203
1945;-0.09217324656009356;-0.093768045
3926;-0.09164900687626554;-0.08306523
912;-0.08799445340434785;-0.08472092
6803;-0.09188200229130021;-0.090257354
1921;-0.015185736547261216;-0.07748273
875;-0.09297708074196318;-0.09070788
2264;-0.08908605731088412;-0.08499212
871;-0.09456144956419897;-0.07645366
2201;-0.09071702521612683;-0.058481812
1000;-0.09489638047331131;-0.09446001
1089;-0.09311979043367193;-0.07060858
45;-0.09428767995153323;-0.0941097
6135;-0.09362946790406027;-0.095754944
91;-0.0945032007104403;-0.08111085
3290;-0.08547462837784667;-0.09185804
4051;-0.09042994574037724;-0.084860995
5588;-0.09226061984073156;-0.086701296
4871;-0.09278809699585149;-0.07976013
304;-0.09484636917245119;-0.09463071
1017;-0.07833914379240975;-0.09302891
615;-0.09000813200597554;-0.09730285
3379;-0.08955204814095347;-0.088299066
2380;-0.09118301604619619;-0.08670352
5815;-0.08926080387216012;-0.08468679
5103;-0.09071702521612683;-0.08425283
3636;-0.09370169648272102;0.051777646
505;-0.09115389161931685;-0.082002774
2178;-0.08955204814095347;-0.09389215
2084;-0.09461969841795764;-0.0962483
5715;-0.09392071217285361;-0.09775917
2274;-0.09223149541385223;-0.08937208
4081;-0.09374596561157761;-0.09250031
6892;-0.09478782208456128;-0.09212441
1148;-0.09386246331909494;-0.093665525
176;-0.09199849999881755;-0.09659651
2736;-0.08617729595050823;-0.09045577
1182;-0.09076362429913377;-0.08883439
3921;-0.09211499770633488;-0.0960883
3846;-0.09270191257431869;-0.0733098
6843;-0.09351297019654294;-0.092477195
2800;-0.08896955960336678;-0.08430848
6932;-0.08862977481727072;-0.070967905
1746;-0.06625250663748601;-0.082888365
563;-0.014323362267364127;-0.08864124
6385;-0.09000518927388365;-0.08256118
6377;-0.09257225120834044;-0.09402575
4064;-0.09362946790406027;-0.096551806
1680;-0.08838707106578009;-0.09385558
3497;-0.08594061920791601;-0.08919655
4345;-0.09153600409997371;-0.083463766
6583;-0.09013453667854016;-0.100779764
6838;-0.08670793543589872;-0.08612994
4419;-0.09304697936647359;-0.08809246
5265;-0.09310522822023225;-0.082969956
6245;-0.07790227738921973;-0.092179365
3454;-0.07982973196009409;-0.09449075
5885;-0.087516250702088;-0.08453325
6694;-0.07522522996909584;-0.08928857
4337;-0.06331559943097394;-0.06459374
5127;-0.09150920962724474;-0.09472319
1216;-0.08985028227219785;-0.08129853
2539;-0.09252448714825832;-0.090012744
2656;-0.09481774452073712;-0.08938283
6205;-0.0858596707758476;-0.08960235
3613;-0.0876298359669174;-0.09013096
4297;-0.08130157331668472;-0.0720225
1452;-0.08576587264664;-0.08666315
2021;-0.08296992766622391;-0.09593089
2547;-0.09121097549600035;-0.08888884
6307;-0.08360852441219363;-0.0773655
26;-0.09196937557193821;-0.0925956
3332;-0.09188200229130021;-0.0913826
1119;-0.09058014040979397;-0.08751164
6338;-0.08972679470222947;-0.09141462
366;-0.09293048165895625;-0.07491076
6104;-0.0945032007104403;-0.09530525
1105;-0.09374596561157761;-0.08864624
273;-0.0928139839514389;-0.09823064
1111;-0.09374596561157761;-0.08865742
1731;-0.08489213984025998;-0.083585665
1419;-0.0921709166059432;-0.08613858
1979;-0.08998891454414348;-0.08655663
5055;-0.0813995385688902;-0.07756087
783;-0.0943284541491643;-0.08992246
6823;-0.07506264576848465;-0.08920928
3201;-0.07144539195007132;-0.074832626
4646;-0.08809582679698676;-0.08915538
987;-0.04880705648516002;-0.08191359
6172;-0.0952383012448747;-0.09290245
3157;-0.0431330123409866;-0.086851954
5054;-0.08140303350011573;-0.08167317
293;-0.09416710482425278;-0.08463734
6887;-0.0915589768654076;-0.07904396
4321;-0.09537636093058788;-0.07229658
1319;-0.09244119128738343;-0.09187256
